{'epoch': 1000, 'lr': 8e-05, 'wd': 0, 'sim_threshold': 0.7, 'loss_p_weight': 0.993, 'loss_d_weight': 0.994, 'loss_weight': 0.002, 'a1': 1e-08, 'a2': 1e-08, 'dropout': 0, 'graph_dropout': 0, 'fr_dim': [4096, [1426, 1024], [681, 256], 4447], 'fd_dim': [2048, [1426, 1024], [681, 256], 4447]}
Epoch: 649 loss: 0.000171, pauc: 0.971504, paupr: 0.904569, paupr_m: 0.867547, dauc: 0.927531, daupr: 0.450628, daupr_m: 0.499546
Epoch: 659 loss: 0.000171, pauc: 0.971242, paupr: 0.904650, paupr_m: 0.867784, dauc: 0.927577, daupr: 0.451017, daupr_m: 0.501182
Epoch: 669 loss: 0.000171, pauc: 0.971350, paupr: 0.904725, paupr_m: 0.866240, dauc: 0.927636, daupr: 0.451137, daupr_m: 0.501117
Epoch: 679 loss: 0.000171, pauc: 0.971319, paupr: 0.904628, paupr_m: 0.869698, dauc: 0.927699, daupr: 0.451722, daupr_m: 0.500880
Epoch: 689 loss: 0.000171, pauc: 0.970932, paupr: 0.904607, paupr_m: 0.869473, dauc: 0.927707, daupr: 0.451736, daupr_m: 0.501278
Epoch: 699 loss: 0.000171, pauc: 0.970909, paupr: 0.904515, paupr_m: 0.869321, dauc: 0.927743, daupr: 0.452049, daupr_m: 0.498899
Epoch: 709 loss: 0.000171, pauc: 0.971012, paupr: 0.904650, paupr_m: 0.869945, dauc: 0.927747, daupr: 0.452427, daupr_m: 0.499085
Epoch: 719 loss: 0.000171, pauc: 0.971397, paupr: 0.904464, paupr_m: 0.869595, dauc: 0.927778, daupr: 0.452718, daupr_m: 0.499058
Epoch: 729 loss: 0.000171, pauc: 0.971135, paupr: 0.904703, paupr_m: 0.869837, dauc: 0.927772, daupr: 0.453068, daupr_m: 0.499111
Epoch: 739 loss: 0.000171, pauc: 0.970884, paupr: 0.904643, paupr_m: 0.869700, dauc: 0.927775, daupr: 0.453395, daupr_m: 0.506032
Epoch: 749 loss: 0.000171, pauc: 0.970719, paupr: 0.904529, paupr_m: 0.869642, dauc: 0.927791, daupr: 0.453692, daupr_m: 0.506365
Epoch: 759 loss: 0.000171, pauc: 0.970832, paupr: 0.904701, paupr_m: 0.870143, dauc: 0.927805, daupr: 0.454103, daupr_m: 0.506245
Epoch: 769 loss: 0.000171, pauc: 0.971133, paupr: 0.904843, paupr_m: 0.870292, dauc: 0.927820, daupr: 0.454445, daupr_m: 0.507231
Epoch: 779 loss: 0.000171, pauc: 0.970609, paupr: 0.904676, paupr_m: 0.869537, dauc: 0.927801, daupr: 0.454766, daupr_m: 0.507289
Epoch: 789 loss: 0.000171, pauc: 0.970923, paupr: 0.904647, paupr_m: 0.869397, dauc: 0.927808, daupr: 0.455123, daupr_m: 0.506777
Epoch: 799 loss: 0.000171, pauc: 0.971427, paupr: 0.904784, paupr_m: 0.866236, dauc: 0.927797, daupr: 0.455095, daupr_m: 0.507452
Epoch: 809 loss: 0.000170, pauc: 0.971277, paupr: 0.905021, paupr_m: 0.869996, dauc: 0.927810, daupr: 0.455296, daupr_m: 0.508049
