{'epoch': 1000, 'lr': 9e-05, 'wd': 6e-07, 'sim_threshold': 0.5, 'loss_p_weight': 0.998, 'loss_d_weight': 0.95, 'loss_weight': 0.0002, 'a1': 1e-09, 'a2': 1e-09, 'dropout': 0.2, 'graph_dropout': 0.1, 'fr_dim': [4096, [1512, 1024], [5603, 2048]], 'fd_dim': [2048, [1512, 1024], [5603, 2048]]}
Epoch: 909 loss: 0.000018, pauc: 0.937756, paupr: 0.470560, paupr_m: 0.568654, dauc: 0.919509, daupr: 0.419342, daupr_m: 0.500873
Epoch: 919 loss: 0.000018, pauc: 0.941917, paupr: 0.486408, paupr_m: 0.570825, dauc: 0.920431, daupr: 0.438391, daupr_m: 0.500842
Epoch: 929 loss: 0.000018, pauc: 0.928253, paupr: 0.476292, paupr_m: 0.596412, dauc: 0.921121, daupr: 0.449593, daupr_m: 0.501814
Epoch: 939 loss: 0.000018, pauc: 0.927134, paupr: 0.473293, paupr_m: 0.580261, dauc: 0.919748, daupr: 0.425189, daupr_m: 0.502191
Epoch: 949 loss: 0.000019, pauc: 0.919666, paupr: 0.477791, paupr_m: 0.575170, dauc: 0.920168, daupr: 0.432950, daupr_m: 0.501808
Epoch: 959 loss: 0.000018, pauc: 0.935430, paupr: 0.496114, paupr_m: 0.597052, dauc: 0.919841, daupr: 0.428130, daupr_m: 0.501973
Epoch: 969 loss: 0.000020, pauc: 0.933924, paupr: 0.483074, paupr_m: 0.599545, dauc: 0.920615, daupr: 0.446929, daupr_m: 0.501752
Epoch: 979 loss: 0.000018, pauc: 0.932926, paupr: 0.488329, paupr_m: 0.570502, dauc: 0.921146, daupr: 0.444477, daupr_m: 0.501805
Epoch: 989 loss: 0.000018, pauc: 0.933183, paupr: 0.495846, paupr_m: 0.589958, dauc: 0.920545, daupr: 0.439968, daupr_m: 0.503015
Epoch: 999 loss: 0.000018, pauc: 0.915206, paupr: 0.498877, paupr_m: 0.604994, dauc: 0.920726, daupr: 0.440483, daupr_m: 0.501934
Epoch: 9 loss: 0.000509, pauc: 0.915919, paupr: 0.037493, paupr_m: 0.114433, dauc: 0.818284, daupr: 0.276932, daupr_m: 0.328249
Epoch: 19 loss: 0.000340, pauc: 0.929366, paupr: 0.066234, paupr_m: 0.153932, dauc: 0.849939, daupr: 0.307404, daupr_m: 0.365315
Epoch: 29 loss: 0.000238, pauc: 0.930179, paupr: 0.137273, paupr_m: 0.283784, dauc: 0.858862, daupr: 0.274891, daupr_m: 0.317496
Epoch: 39 loss: 0.000171, pauc: 0.924702, paupr: 0.148761, paupr_m: 0.266197, dauc: 0.861467, daupr: 0.256083, daupr_m: 0.286070
Epoch: 49 loss: 0.000127, pauc: 0.916883, paupr: 0.198618, paupr_m: 0.258567, dauc: 0.866773, daupr: 0.289053, daupr_m: 0.333436
